,,,立川,日野,327331 ,19480 ,5920 ,5920 ,7400 ,8880 ,13320 ,10064 ,20720 ,29600 ,29600 ,28980 ,17140 ,18318 ,19560 ,18318 ,21842 ,13878 ,17671 ,20720 
,,,日野,豊田,325657 ,18000 ,5920 ,7400 ,5920 ,10360 ,13320 ,10064 ,17760 ,32560 ,29600 ,28980 ,16280 ,17140 ,21040 ,17760 ,20362 ,14800 ,16191 ,22200 
,,,豊田,八王子,274097 ,18860 ,5920 ,5920 ,8260 ,7400 ,7400 ,7104 ,13320 ,28120 ,26640 ,28980 ,14800 ,17140 ,16600 ,14800 ,15922 ,11840 ,11751 ,13320 
,,,八王子,西八王子,250305 ,16760 ,7400 ,5920 ,8260 ,5920 ,5920 ,4440 ,13320 ,23680 ,25160 ,26880 ,13560 ,14180 ,13936 ,14800 ,11778 ,11840 ,13231 ,13320 
,,,西八王子,高尾,249592 ,15900 ,8260 ,4440 ,8260 ,7400 ,5920 ,4440 ,13320 ,22200 ,25160 ,26880 ,15040 ,14180 ,12456 ,14800 ,13258 ,10360 ,12518 ,14800 
,,,高尾,相模湖,55872 ,7020 ,2580 ,860 ,1720 ,860 ,1720 ,860 ,2340 ,3440 ,4920 ,4060 ,3200 ,2580 ,4498 ,4998 ,4618 ,2580 ,1538 ,1480 
,,,相模湖,藤野,53400 ,7020 ,1720 ,1720 ,1720 ,860 ,860 ,860 ,3200 ,3440 ,4060 ,4920 ,1720 ,4060 ,3820 ,4440 ,3200 ,2580 ,1720 ,1480 
,,,藤野,上野原,53400 ,7020 ,1720 ,860 ,1720 ,1720 ,860 ,860 ,3200 ,3440 ,4060 ,4060 ,2580 ,4060 ,2960 ,5300 ,3200 ,2580 ,1720 ,1480 
,,,上野原,四方津,53400 ,7020 ,1720 ,860 ,1720 ,860 ,1720 ,860 ,3200 ,3440 ,4060 ,4060 ,2580 ,3200 ,3820 ,5300 ,3200 ,2580 ,860 ,2340 
,,,四方津,梁川,53400 ,6160 ,1720 ,1720 ,860 ,1720 ,860 ,1720 ,3200 ,3440 ,4060 ,4060 ,1720 ,4060 ,3820 ,3820 ,3820 ,3440 ,860 ,2340 
,,,梁川,鳥沢,53400 ,6160 ,860 ,1720 ,1720 ,1720 ,860 ,1720 ,2340 ,3440 ,4920 ,4060 ,1720 ,4060 ,3820 ,3820 ,3820 ,3440 ,860 ,2340 
,,,鳥沢,猿橋,53400 ,6160 ,860 ,1720 ,1720 ,1720 ,860 ,1720 ,2340 ,3440 ,3440 ,4680 ,2580 ,4060 ,3820 ,3820 ,3820 ,3440 ,860 ,2340 
,,,猿橋,大月,53400 ,5300 ,1720 ,1720 ,1720 ,1720 ,860 ,1720 ,2340 ,3440 ,3440 ,4680 ,2580 ,4060 ,3820 ,3820 ,3820 ,3440 ,860 ,2340 
,,,大月,初狩,29670 ,2150 ,860 ,860 ,860 ,860 ,1720 ,0 ,1720 ,3440 ,3440 ,3010 ,1720 ,1720 ,1720 ,1720 ,1290 ,1720 ,860 ,0 
,,,初狩,笹子,29670 ,1290 ,1720 ,860 ,860 ,860 ,860 ,860 ,1720 ,3440 ,3440 ,3010 ,860 ,1720 ,2580 ,1720 ,1290 ,1720 ,860 ,0 
,,,,,0 ,,,,,,,,,,,,,,,,,,,
,,上り,笹子,初狩,29670 ,3440 ,860 ,860 ,860 ,860 ,860 ,860 ,2580 ,2150 ,3440 ,3440 ,860 ,1720 ,1720 ,1720 ,1290 ,1720 ,430 ,0 
,,,初狩,大月,29670 ,2580 ,1720 ,0 ,1720 ,860 ,860 ,860 ,2580 ,2150 ,3440 ,3440 ,860 ,1720 ,1720 ,1720 ,1290 ,1720 ,430 ,0 
,,,大月,猿橋,53400 ,8500 ,3820 ,1720 ,1720 ,860 ,1720 ,1720 ,2580 ,4060 ,3440 ,4680 ,2580 ,3200 ,3200 ,3200 ,3200 ,3200 ,0 ,0 
,,,猿橋,鳥沢,53400 ,8500 ,3820 ,1720 ,1720 ,860 ,1720 ,1720 ,2580 ,4060 ,3440 ,4680 ,2580 ,2340 ,4060 ,3200 ,3200 ,3200 ,0 ,0 
,,,鳥沢,梁川,53400 ,7020 ,3820 ,3200 ,1720 ,860 ,860 ,1720 ,2580 ,4920 ,3440 ,4680 ,2580 ,2340 ,2580 ,3820 ,3200 ,3200 ,860 ,0 
,,,梁川,四方津,53400 ,7020 ,3820 ,2340 ,2580 ,860 ,860 ,1720 ,2580 ,4920 ,3440 ,4680 ,1720 ,3200 ,2580 ,2340 ,4680 ,3200 ,860 ,0 
,,,四方津,上野原,53400 ,7020 ,3820 ,2340 ,1720 ,860 ,1720 ,860 ,3440 ,4920 ,2580 ,5540 ,1720 ,3200 ,2580 ,2340 ,4680 ,3200 ,860 ,0 
,,,上野原,藤野,53400 ,6160 ,3200 ,3820 ,1720 ,860 ,1720 ,860 ,3440 ,4920 ,2580 ,5540 ,1720 ,3200 ,2580 ,2340 ,4680 ,3200 ,860 ,0 
,,,藤野,相模湖,53400 ,6160 ,3200 ,3820 ,860 ,1720 ,1720 ,860 ,3440 ,4920 ,2580 ,5540 ,1720 ,1720 ,4060 ,2340 ,4680 ,3200 ,860 ,0 
,,,相模湖,高尾,53400 ,6160 ,2340 ,4680 ,860 ,1720 ,860 ,1720 ,2580 ,4920 ,3440 ,4680 ,1720 ,2580 ,4060 ,2340 ,3200 ,4680 ,860 ,0 
,,,高尾,西八王子,237958 ,22878 ,7400 ,10360 ,8260 ,7400 ,5920 ,4440 ,11220 ,25160 ,23680 ,26020 ,13320 ,12700 ,10360 ,11840 ,13320 ,13320 ,7400 ,2960 
,,,西八王子,八王子,237958 ,21398 ,8880 ,10360 ,8260 ,7400 ,4440 ,5920 ,11220 ,25160 ,23680 ,24540 ,13320 ,14180 ,10360 ,11840 ,13320 ,13320 ,5920 ,4440 
,,,八王子,豊田,269159 ,22111 ,10360 ,13320 ,8260 ,7400 ,5920 ,5920 ,15660 ,28120 ,25160 ,30164 ,14800 ,18324 ,11840 ,10360 ,14800 ,14800 ,7400 ,4440 
,,,豊田,日野,315039 ,36911 ,11840 ,13320 ,9740 ,7400 ,8880 ,7400 ,15660 ,29600 ,29600 ,34604 ,14800 ,18620 ,17464 ,13320 ,16280 ,17760 ,7400 ,4440 
,,,日野,立川,315039 ,35431 ,13320 ,11840 ,11220 ,7400 ,7400 ,7400 ,17140 ,29600 ,29600 ,34604 ,14800 ,17140 ,18944 ,13320 ,16280 ,16280 ,8880 ,4440 
,,,立川,国立,427597 ,40429 ,20720 ,19240 ,16280 ,10360 ,10360 ,11840 ,19240 ,41440 ,41440 ,42624 ,25160 ,22200 ,23384 ,20720 ,20720 ,22200 ,14800 ,4440 
,,,国立,西国分寺,427597 ,38271 ,19918 ,19240 ,19240 ,10360 ,10360 ,10360 ,19240 ,41440 ,41440 ,44104 ,23680 ,22200 ,24864 ,20720 ,19240 ,23680 ,14800 ,4440 
,,,西国分寺,国分寺,425229 ,36791 ,19918 ,19240 ,19240 ,11840 ,8880 ,10360 ,19240 ,42920 ,41440 ,42920 ,22200 ,23680 ,22200 ,20720 ,19240 ,23680 ,14800 ,5920 
,,,国分寺,武蔵小金井,428189 ,39751 ,18438 ,20720 ,17760 ,11840 ,10360 ,8880 ,20720 ,41440 ,41440 ,42920 ,22200 ,23680 ,22200 ,20720 ,19240 ,23680 ,16280 ,5920 
,,,武蔵小金井,東小金井,466669 ,48631 ,18438 ,20720 ,22200 ,13320 ,13320 ,8880 ,22200 ,41440 ,42920 ,47360 ,28120 ,26640 ,25160 ,20720 ,22200 ,23680 ,16280 ,4440 
,,,東小金井,武蔵境,466669 ,47151 ,15478 ,23680 ,22200 ,14800 ,13320 ,8880 ,20720 ,42920 ,41440 ,47360 ,28120 ,26640 ,25160 ,22200 ,20720 ,25160 ,16280 ,4440 
,,,武蔵境,三鷹,466669 ,46593 ,16036 ,20720 ,22200 ,16280 ,13320 ,8880 ,22200 ,41440 ,41440 ,47360 ,29600 ,25160 ,26640 ,20720 ,20720 ,25160 ,17760 ,4440 
,,,三鷹,吉祥寺,456309 ,34753 ,16036 ,20720 ,20720 ,17760 ,11840 ,11840 ,19240 ,42920 ,41440 ,47360 ,29600 ,25160 ,25160 ,22200 ,20720 ,23680 ,20720 ,4440 
,,,吉祥寺,西荻窪,456309 ,33273 ,16036 ,20720 ,20720 ,17760 ,13320 ,11840 ,19240 ,41440 ,41440 ,47360 ,29600 ,25160 ,26640 ,20720 ,22200 ,23680 ,19240 ,5920 
,,,西荻窪,荻窪,456309 ,31793 ,16036 ,20720 ,20720 ,17760 ,13320 ,11840 ,20720 ,41440 ,41440 ,45880 ,31080 ,25160 ,25160 ,22200 ,20720 ,25160 ,19240 ,5920 
,,,荻窪,阿佐ヶ谷,456309 ,30313 ,16036 ,19240 ,22200 ,19240 ,11840 ,11840 ,20720 ,41440 ,41440 ,45880 ,31080 ,25160 ,25160 ,22200 ,22200 ,23680 ,20720 ,5920 
,,,阿佐ヶ谷,高円寺,456309 ,28833 ,16036 ,19240 ,22200 ,19240 ,13320 ,11840 ,20720 ,41440 ,41440 ,44400 ,31080 ,26640 ,25160 ,22200 ,22200 ,23680 ,20720 ,5920 
,,,高円寺,中野,456309 ,28833 ,14556 ,19240 ,22200 ,19240 ,13320 ,11840 ,22200 ,41440 ,41440 ,44400 ,31080 ,25160 ,26640 ,22200 ,22200 ,23680 ,19240 ,7400 
,,,中野,東中野,454829 ,28833 ,14556 ,19240 ,20720 ,20720 ,14800 ,11840 ,22200 ,41440 ,41440 ,44400 ,29600 ,26640 ,25160 ,22200 ,22200 ,22200 ,22200 ,4440 
,,,東中野,大久保,454829 ,28833 ,13076 ,19240 ,20720 ,22200 ,13320 ,13320 ,20720 ,41440 ,41440 ,44400 ,29600 ,28120 ,25160 ,22200 ,22200 ,22200 ,20720 ,5920 
,,,大久保,新宿,454829 ,28833 ,13076 ,17760 ,20720 ,22200 ,14800 ,11840 ,22200 ,41440 ,41440 ,42920 ,29600 ,28120 ,25160 ,23680 ,22200 ,22200 ,20720 ,5920 
,,,新宿,代々木,451869 ,27353 ,13076 ,17760 ,20720 ,22200 ,14800 ,13320 ,22200 ,41440 ,39960 ,44400 ,29600 ,28120 ,23680 ,23680 ,23680 ,19240 ,20720 ,5920 
,,,代々木,千駄ヶ谷,451869 ,27353 ,12398 ,18438 ,20720 ,20720 ,16280 ,11840 ,22200 ,42920 ,39960 ,44400 ,29600 ,26640 ,25160 ,23680 ,22200 ,20720 ,20720 ,5920 
